name	count	percent_male	percent_female
kaire	63	0.9047619047619048	0.09523809523809523
kaion	22	1	0
kainin	37	1	0
kaiming	5	1	0
kaimen	106	1	0
kailyn	12175	0.006324435318275154	0.9936755646817248
kailum	5	1	0
kailin	1206	0.11194029850746269	0.8880597014925373
kaien	64	1	0
kaicyn	5	1	0
kaiba	13	1	0
kahron	152	1	0
kahne	180	0.9722222222222222	0.027777777777777776
kahli	421	0.21140142517814728	0.7885985748218527
kahlen	334	0.20059880239520958	0.7994011976047904
kaelob	175	1	0
kaedence	442	0.029411764705882353	0.9705882352941176
kaede	215	0.16279069767441862	0.8372093023255814
kaecyn	10	1	0
kado	39	1	0
kadmiel	38	1	0
kacy	5741	0.16077338442780004	0.8392266155722
kacin	49	1	0
kaceon	15	1	0
kabriel	10	1	0
kaaden	21	1	0
jyquan	90	1	0
jye	50	1	0
juwelz	10	1	0
juwel	5	1	0
justine	39968	0.05994795836669335	0.9400520416333067
junzhe	5	1	0
junming	5	1	0
junayd	20	1	0
juluis	893	1	0
jream	89	0.16853932584269662	0.8314606741573034
jozyah	28	1	0
joziel	18	1	0
jozeph	90	1	0
jowel	70	1	0
jovel	33	1	0
jourdin	227	0.3568281938325991	0.6431718061674009
jotaro	5	1	0
josyiah	34	1	0
joshawn	121	1	0
joseth	143	1	0
josaih	35	1	0
joryel	5	1	0
jonothan	882	1	0
jonathyn	268	1	0
joji	21	1	0
johnjoseph	197	1	0
johngabriel	53	1	0
